question_id,equality_cv,equality_e26,distance_cv,distance_e26,ordered_pair_cv,ordered_pair_e26,unordered_matrix_cv,unordered_matrix_e26,missing_cv,missing_e26,equality_context_cv,equality_context_e26,ordered_context_cv,ordered_context_e26,unordered_context_cv,unordered_context_e26,notes
match_disagreement_style,0.507,0.470,,,0.530,0.527,0.530,0.527,0.530,0.500,0.404,0.585,0.439,0.566,0.439,0.587,"nominal; raw answer distance semantically invalid"
match_similarity_preference,0.487,0.485,,,0.530,0.629,0.530,0.539,0.530,0.500,0.404,0.588,0.439,0.658,0.439,0.497,"partner meta-preference; ordered pair is requirement alignment, not validated satisfaction"
match_current_focus,0.500,0.417,0.507,0.503,0.530,0.490,0.530,0.489,0.530,0.500,0.404,0.496,0.439,0.515,0.439,0.515,"distance columns are set Jaccard, not ordinal distance"
humor_banter_style,0.563,0.345,,,0.564,0.558,0.540,0.357,0.500,0.500,0.379,0.381,0.515,0.592,0.523,0.580,"nominal"
early_openness_comfort,0.621,0.451,0.631,0.422,0.563,0.429,0.619,0.381,0.500,0.500,0.453,0.487,0.338,0.463,0.461,0.456,"ordered"
conversation_initiative_preference,0.515,0.311,,,0.530,0.540,0.530,0.533,0.530,0.500,0.404,0.465,0.439,0.548,0.439,0.477,"mixed demand/supply; nominal"
expression_language,0.502,0.564,0.447,0.593,0.500,0.374,0.500,0.441,0.500,0.500,0.360,0.533,0.404,0.439,0.404,0.585,"ordered; profile-only contract"
minimum_partner_religious_commitment,0.546,0.580,0.496,0.624,0.500,0.439,0.500,0.423,0.500,0.500,0.360,0.587,0.404,0.505,0.404,0.467,"requirement only; partner self-religiosity absent; satisfaction unidentifiable"
social_relationship_style,0.487,0.523,0.440,0.542,0.500,0.489,0.500,0.532,0.500,0.500,0.360,0.567,0.404,0.506,0.404,0.569,"ordered; profile-only contract"
attachment_1,0.450,0.561,,,0.301,0.566,0.270,0.539,0.500,0.500,0.321,0.559,0.321,0.532,0.368,0.542,"nominal"
attachment_3,0.632,0.580,,,0.632,0.673,0.567,0.590,0.500,0.500,0.406,0.639,0.633,0.581,0.588,0.576,"nominal closeness need"
attachment_4,0.494,0.439,,,0.592,0.500,0.505,0.590,0.500,0.500,0.403,0.567,0.418,0.508,0.376,0.513,"nominal support-seeking behavior"
lifestyle_1,0.611,0.545,0.676,0.558,0.554,0.525,0.754,0.545,0.500,0.500,0.578,0.588,0.466,0.505,0.656,0.591,"ordered/cyclic schedule caveat"
lifestyle_2,0.485,0.587,0.462,0.542,0.454,0.407,0.352,0.372,0.500,0.500,0.240,0.424,0.505,0.420,0.437,0.352,"ordered desired contact frequency"
