question_id,semantic_status,train_n,event26_n,hypotheses_tested,train_selected_hypothesis,participant_purged_event_macro_cv_auc,event26_auc,interpretation
match_disagreement_style,"nominal; absolute option distance invalid",26,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.530,0.500,"no pair signal"
match_similarity_preference,"partner meta-preference; must interact with observed traits",26,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.530,0.500,"no pair signal; generic requirement-to-requirement comparison is not satisfaction"
match_current_focus,"self current-context set; option order nominal",26,45,"set equality;overlap/distance;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.530,0.500,"no pair signal"
humor_banter_style,"nominal self interaction style",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.564,0.558,"exploratory only"
early_openness_comfort,"ordered self disclosure comfort",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",absolute_distance,0.631,0.422,"temporal reversal"
conversation_initiative_preference,"mixed desired role and supplied behavior; nominal",26,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.530,0.500,"no pair signal"
expression_language,"ordered self language preference; profile-only by contract",17,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",equality,0.502,0.564,"insufficient train coverage; ineligible under current survey contract"
minimum_partner_religious_commitment,"partner requirement; counterpart self-religiosity absent",17,45,"requirement equality/distance negative-control;ordered/unordered requirement pairs;missingness;context",equality_negative_control,0.546,0.580,"directional satisfaction unidentifiable; not eligible for matching"
social_relationship_style,"ordered self orientation; profile-only by contract",17,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.500,0.500,"no signal; ineligible under current survey contract"
attachment_1,"nominal self attachment response",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.500,0.500,"no pair signal"
attachment_3,"nominal self closeness need",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair_context,0.633,0.581,"exploratory; holdout uncertainty not independently sufficient"
attachment_4,"nominal self support-seeking behavior",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.592,0.500,"did not transfer"
lifestyle_1,"ordered/cyclic schedule caveat",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix,0.754,0.545,"large CV-to-event decay"
lifestyle_2,"ordered desired contact frequency",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair_context,0.505,0.420,"below chance on event 26"
lifestyle_3,"ordered desired closeness/autonomy",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.500,0.500,"no pair signal"
lifestyle_4,"ordered coordination preference",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",equality,0.636,0.587,"exploratory only"
lifestyle_5,"ordered activity/recharge caveat",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",equality_context,0.532,0.437,"below chance on event 26"
core_values_1,"nominal truth-versus-loyalty judgment",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.500,0.500,"no pair signal"
core_values_2,"ordered risk tolerance",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.524,0.484,"no transferable signal"
core_values_3,"partner-difference tolerance; counterpart differences incompletely observed",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix_context,0.637,0.490,"did not transfer; generic tolerance-pair comparison is not satisfaction"
core_values_4,"partner support requirement; supplied support absent",93,45,"requirement equality/distance negative-control;ordered/unordered requirement pairs;missingness;context",unordered_requirement_matrix,0.538,0.566,"directional satisfaction unidentifiable; not eligible without supply trait"
core_values_5,"ordered autonomy-versus-solidarity judgment",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",equality,0.530,0.519,"no reliable signal"
communication_1,"nominal self conflict behavior",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.708,0.525,"large CV-to-event decay"
communication_2,"nominal self need-expression behavior",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix,0.720,0.453,"temporal reversal"
communication_3,"nominal self group-disagreement behavior",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.500,0.500,"no pair signal"
communication_4,"nominal self stress-conflict behavior",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix,0.688,0.379,"strong temporal reversal"
communication_5,"nominal self important-disagreement behavior",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix,0.534,0.500,"no transferable signal"
conversational_role,"nominal supplied conversation role",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",missingness,0.500,0.500,"no pair signal"
conversation_depth_pref,"nominal conversation preference",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.679,0.587,"exploratory only"
vibe_4,"ordered/flexible conversation-depth legacy item",93,45,"equality;absolute distance;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix,0.608,0.513,"no reliable transfer"
social_battery,"nominal/binary energy response",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.522,0.537,"no reliable signal"
humor_subtype,"nominal humor taste",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",unordered_matrix_context,0.652,0.513,"large CV-to-event decay"
curiosity_style,"mixed desired role and supplied behavior; nominal",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.666,0.564,"exploratory only"
intent_goal,"nominal event goal",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",ordered_pair,0.593,0.566,"exploratory; not a friendship-versus-romance label"
silence_comfort,"nominal/binary silence response",93,45,"equality;distance-diagnostic;ordered pair;unordered matrix;missingness;gender/phase context",equality,0.631,0.504,"did not transfer"
age,"self demographic; pair distance diagnostic",93,45,"exact equality;negative absolute distance;missingness;context",negative_absolute_distance,0.596,0.544,"exact-age diagnostic was 0.548/0.580; not a standalone compatibility criterion"
preferred_age_range,"directional partner eligibility requirement",93,45,"respondent range satisfaction;raw flex flag;missingness;context",directional_satisfaction,0.562,0.466,"72/93 train and 39/45 event-26 rows satisfied; gate diagnostic only"
gender,"self demographic; counterpart to gender requirement",93,45,"exact/context;directional requirement satisfaction;missingness",directional_satisfaction,0.562,0.485,"only 3 train and 1 event-26 violations; effect not estimable"
gender_preference,"directional partner eligibility requirement",93,45,"directional requirement satisfaction;missingness;event context",directional_satisfaction,0.562,0.485,"only 3 train and 1 event-26 violations; gate diagnostic only"
nationality,"self demographic; counterpart to nationality requirement",93,45,"exact/context;directional requirement satisfaction;missingness",directional_satisfaction,0.526,0.542,"only 2 train and 1 event-26 violations; effect not estimable"
nationality_preference,"directional partner eligibility requirement",93,45,"directional requirement satisfaction;missingness;event context",directional_satisfaction,0.526,0.542,"only 2 train and 1 event-26 violations; gate diagnostic only"
open_intent_goal_mismatch,"directional exception to intent alignment",81,44,"reviewer open-or-intent-equal satisfaction;missingness;event context",directional_satisfaction,0.584,0.492,"78/81 train and 41/44 event-26 satisfied; only 3 violations per cohort; gate diagnostic only"
ai_current_curiosity,"symmetric generated axis from match_current_curiosity text",1,45,"raw axis score;missingness;context",not_estimable,,0.572,"pre-outcome training coverage 1/93; event-26 value is descriptive only"
ai_hobbies,"symmetric generated axis from vibe_2 text",1,45,"raw axis score;missingness;context",not_estimable,,0.616,"pre-outcome training coverage 1/93; event-26 value is descriptive only"
ai_music,"symmetric generated axis from vibe_3 text",1,45,"raw axis score;missingness;context",not_estimable,,0.621,"pre-outcome training coverage 1/93; event-26 value is descriptive only"
ai_friend_description,"symmetric generated axis from vibe_5 mixed supply/accommodation text",1,45,"raw axis score;missingness;context",not_estimable,,0.462,"pre-outcome training coverage 1/93; event-26 value is descriptive only; construct conflates supply and burden"
